label	text_a
不作处理	群星唱的那个沙啦啦 中文谁唱的啊?哪里找的到啊?
事实类	歌曲~就算我是周星驰~是用的啥子歌的调子改的安?
原因类	我上大话的时候显示将军令异常是怎么回事啊
推荐类	谁有最新的大陆路歌曲?
描述类	your song是什么意思?
方法类	急,我想我该怎么做;歌词
是非类	god is a girl是卟是和《爱情女神》一样?
枚举类	陈楚生的新歌有那些?
评价类	道歉这个歌好听吗
需求类	有没有人知道有个什么网站可以下载DJmp3
推荐类	急!!求好听的歌!!(精华)
评价类	是听完幸福大街的《嫁衣》都会倒霉么?
需求类	谁有梁咏琪《幸福》的歌词
推荐类	同志们有什么好听的歌呗 赶紧佛佛
需求类	求这首歌的下载地址
需求类	谁有hey jude的完整伴奏啊??
事实类	I'll love you more than anyone 热暖象你的心 是谁唱的?
方法类	怎样开问问图标.?
事实类	这首歌的名字是什么?
需求类	神起的《为什么喜欢上你》谁有MP3格式的地址?
不作处理	电影演东方不败的是谁,他在里面唱过一首歌,歌曲的名字叫做什么
方法类	怎样才可以把钢琴弹得更好?
需求类	什么频道可以收听鬼故事的电台?
不作处理	知道歌词不知道歌名
推荐类	谁有好听的非主流歌?
需求类	男儿等自强的曲谱在哪里找
方法类	怎么做歌词同步啊?
需求类	那个朋友给我提供个陈奕迅的&lt;shall we takl&gt;铃声下载点?
推荐类	推荐几首好听的英文歌
推荐类	有没有什么比较着名的英文歌?劲爆一点的!
推荐类	最近有啥个比较好听???
需求类	求英文舞曲下载地址?
评价类	最爱还是你这个歌好听吗
推荐类	给我个好听的音乐网站?
事实类	一首 古筝曲开头是先拨一下然后在 从前到后抚一下 ?请问是 哪首曲子》
评价类	&lt;魔杰座&gt;专集 大家觉得怎么样
事实类	有一首男女在一起唱的歌,很好听,大家知道叫什么吗?
推荐类	有什么好听的歌曲没有?
推荐类	周董走红以来,他出的哪首专辑里的歌最好听?
需求类	阿姆的新专辑-哪里有?
事实类	《刁蛮公主》的片尾曲是什么?还有歌词噢?
推荐类	许 嵩 哪 些 歌 好 听 ?
事实类	受了点伤的英文版本叫什么?
推荐类	有哪些DJ舞曲比较好听,请各位推荐几首,
不作处理	用闪存盘把MP3歌曲考到另一台电脑的千千静听播放器中无法播放?
事实类	三德歌是谁唱的啊?
需求类	谁有马克西姆弹过的钢琴谱子啊
推荐类	谁告诉我几个好歌曲啊
是非类	she组合里面的成员 hebe 出道这么久有没有她自己创作的歌曲呢?
原因类	请告诉我NOKLA7900MP3里为什么只能放50首歌?
推荐类	最近有什么好听的歌(中文.英文)都可以?
需求类	急求王栎鑫唱过的歌的简谱~~
事实类	求这个视频的背景歌曲
推荐类	最近出了什么好听的歌?
事实类	谁是唱红颜的歌手
推荐类	来点DJ的歌词.把耳机带上听起来很爽的那种`。`推荐点吧。
事实类	歌曲【一个深爱的女孩】 里面的伴奏 原创是钢琴曲叫什么名字?
推荐类	好听的流行音乐有什么?
推荐类	给我介绍几个好歌
推荐类	有 啥 子 好 听 滴 歌?
推荐类	有没有什么好听的歌介绍一下吧?
