label	text_a
4	谁有最新的大陆路歌曲?
1	歌曲~就算我是周星驰~是用的啥子歌的调子改的安?
11	道歉这个歌好听吗
6	急,我想我该怎么做&lt;歌词&gt;??
0	群星唱的那个沙啦啦 中文谁唱的啊?哪里找的到啊?
4	急!!求好听的歌!!(精华)
12	有没有人知道有个什么网站可以下载DJmp3
11	是听完幸福大街的《嫁衣》都会倒霉么?
12	谁有梁咏琪《幸福》的歌词
4	同志们有什么好听的歌呗 赶紧佛佛
12	求这首歌的下载地址
12	谁有hey jude的完整伴奏啊??
1	I'll love you more than anyone 热暖象你的心 是谁唱的?
6	怎样开问问图标.?
1	这首歌的名字是什么?
12	神起的《为什么喜欢上你》谁有MP3格式的地址?
0	电影演东方不败的是谁,他在里面唱过一首歌,歌曲的名字叫做什么
6	怎样才可以把钢琴弹得更好?
12	什么频道可以收听鬼故事的电台?
0	知道歌词不知道歌名
8	陈楚生的新歌有那些???
4	谁有好听的非主流歌?
12	男儿等自强的曲谱在哪里找
6	怎么做歌词同步啊?
12	那个朋友给我提供个陈奕迅的&lt;shall we takl&gt;铃声下载点?
4	推荐几首好听的英文歌
4	有没有什么比较着名的英文歌?劲爆一点的!
7	god is a girl是卟是和《爱情女神》一样?
4	最近有啥个比较好听???
12	求英文舞曲下载地址?
11	最爱还是你这个歌好听吗
4	给我个好听的音乐网站?
9	super junior和super junior M 有什么不同?
1	一首 古筝曲开头是先拨一下然后在 从前到后抚一下 ?请问是 哪首曲子》
11	&lt;魔杰座&gt;专集 大家觉得怎么样
1	有一首男女在一起唱的歌,很好听,大家知道叫什么吗?
4	有什么好听的歌曲没有?
4	周董走红以来,他出的哪首专辑里的歌最好听?
12	阿姆的新专辑-哪里有?
1	《刁蛮公主》的片尾曲是什么?还有歌词噢?
4	许 嵩 哪 些 歌 好 听 ?
1	受了点伤的英文版本叫什么?
4	有哪些DJ舞曲比较好听,请各位推荐几首,
0	用闪存盘把MP3歌曲考到另一台电脑的千千静听播放器中无法播放?
1	三德歌是谁唱的啊?
12	谁有马克西姆弹过的钢琴谱子啊
4	谁告诉我几个好歌曲啊
7	she组合里面的成员 hebe 出道这么久有没有她自己创作的歌曲呢?
3	请告诉我NOKLA7900MP3里为什么只能放50首歌?
4	最近有什么好听的歌(中文.英文)都可以?
12	急求王栎鑫唱过的歌的简谱~~
1	求这个视频的背景歌曲
4	最近出了什么好听的歌?
1	谁是唱红颜的歌手
4	来点DJ的歌词.把耳机带上听起来很爽的那种`。`推荐点吧。
1	歌曲【一个深爱的女孩】 里面的伴奏 原创是钢琴曲叫什么名字?
4	好听的流行音乐有什么?
4	给我介绍几个好歌
4	有 啥 子 好 听 滴 歌?、、、
3	我上大话的时候显示将军令异常是怎么回事啊
4	有没有什么好听的歌介绍一下吧?
12	无间道 粤语版主题曲我想下载这首歌谁告诉我地址
1	蛇舞除了周轮唱的还有一个女的唱的是谁?
1	U这首歌什么时候出的
12	求宝儿 eat you up URL
4	那位朋友有好听的英文歌曲,
1	谁是唱蝴蝶的歌手
4	有什么好听的舞曲最近
4	黑眼豆豆的My Humps这首歌编舞很有感觉!还有哪些有感觉的歌适合编舞啊!类似这首的?
4	有什好听的歌?
4	最好听的歌是什么?
8	《魔杰座》里都有什么歌?
0	悬赏100大家来领悟《领悟》这首歌曲
1	"《冠军欧洲》""马德里城记"" 专题 最后的女声歌是什么歌?"
1	歌曲功夫的韩文版叫什么名字
4	最近有什么好的歌曲?
8	sjm有什么新歌
4	姓庞男孩 起啥名好听
1	天天向上辅仁大学拉拉队跳的舞的那首歌叫什么名字
1	唱感动天感动地的人是那个歌手?
4	有什么好听的英文歌吗?
8	高达00第二季歌曲
0	请问有谁知道电视剧篮球火里面的歌曲都有那些?叫什么?谁唱的?
8	谁能给我《醉赤壁》和《我还想她》的歌词
4	哪里歌好听
4	有没有没有什么好听的歌?不要快歌,忧伤的
4	谁知道好听的抒情或慢节奏歌曲?
5	INDIE何解?
4	有什么好听的歌可以做为手机铃声啊?
11	即使知道要见面,好听吗?
4	现在有什么好歌
1	谁是唱未满18岁的歌手
1	至上励合上快乐大本营时,金恩圣唱的一首韩国歌,歌名是什么?
4	给个好听的歌曲
12	求ronan keating 的She Believes (In Me )的中文歌词
4	谁能告诉我点 静一点的歌 如《陷入爱里面》
4	魔杰座里哪首歌最好听?
0	最近有什么好听的歌和电影
12	请问谁知道killing me dj 铃声下载地址啊
0	不知道大家听歌陈冠希的《还记得我吗》?
11	“别碰我”这首歌好不好听?
4	边个有最新版DJ。。
4	谁知道什么DJ舞曲好听
4	现在有那些好听的歌曲啊?
4	学吉他应从哪种开始学?
4	好听,可爱的情侣对唱?
4	什么歌曲能有叫人在喝茶时候有一种清新的感觉?
1	东成西就最后的歌叫什么
12	谁有《武林女大学生》最后那首歌
1	请问歌词,你是吃复读机长大的啊,的歌叫什么
1	谁是唱愿望的歌手
4	现在 什么歌 很好听 我喜欢 JAY 郑源 还有网络歌曲 有的推荐下
1	这首是什么歌呢?
4	有什么好听的伤感歌介绍下
1	ONE LOVE — BLUE这首歌中文名字叫什么?
0	至上励合--降临--专辑中有几首歌 分别是什么
1	“在你离开之前我离开”出自哪首歌
1	请问U这首歌什么时候出的
4	哪些歌好听?
4	介绍几首很适合配伤感非主流空间的背景音乐,要钢琴曲哦~~
12	谁知道&lt;想和你跳舞&gt;的歌曲源文件地址吗??
0	最近有哪些好听的新歌、好看的电影?
4	想找一些悲伤点的歌曲
4	张学友有哪些经典好听的歌曲呢?
1	《我不想说我是鸡》这首歌的原唱歌曲是?
1	其实我介意是谁唱?
5	有谁知道《Love to be loved by you》这首歌歌词的中文意思
1	hp2105用的啥鼓
4	valder fields 谁有和这个歌差不多的
4	最近有什么新歌?
12	找一首歌 歌词看里面
8	《原来我不帅》中有些什么歌?
12	谁给五月天倔强的贝司谱给我?
1	至上励合的《棉花糖》的歌词是什么?
11	恋爱大过天这首歌好听不?
4	今年什么流行歌曲最流行?(要列举多一点的)歌名就可以了
1	降临是谁作曲的
6	音乐专辑制作的步骤是什么?
4	现在谁唱的歌最好听?
1	神鬼拍档里的主角失落时在舞厅里放的那收歌是什么
3	我添加了很多歌在播放器里怎么只唱一首
1	这里面的背景音乐是哪首歌?
4	求忧伤好听,节奏高,音量舒服的曲子(不要歌声)!
4	谁能介绍几首节奏感强烈的英文歌曲
4	最近(08.11月)有什么好听的中文和欧美歌曲?
4	最近有什么比较流行的歌?
12	那个网站下载视频MTV最好 要歌曲的
12	谁知道《headaches and woes》歌的下载地址!!!
4	有什么好听的经典的英文歌
12	半熟宣言、杨丞琳 歌曲链接?
4	最近有什么好听的歌(网络歌曲不要)
8	邓丽欣stephy..最近出了什么新歌?
4	学了三年的吉他.现在要学什么知识啊
4	啥子歌好听?
1	求一首歌曲 女唱 举头望明月?
0	恐怖的声音啊
9	声调和响度有什么不同?
4	我想听轻快的歌谁推见几首呀
4	有好听的歌曲吗
12	用什么找歌容易?
0	有《我是一个被爱伤过的人》这首歌。。
1	花海是谁的歌?
6	联通8元套餐怎样才能取消每月的彩玲
11	18 禁 、好听么。
11	真心英雄好听吗?
4	用什么下歌好?
4	有好听的歌吗?比较伤感的
1	谁是唱曹操的歌手
1	魔杰座中的中国风是哪一首
4	现在有哪些好听的新歌?
4	我要用什么才可以下好品质的歌;速度又快呢?
4	现在最流行的歌是什么歌!
1	谁知道王力宏的新专集什么时候出
8	关于单身的歌曲有多少
12	韩国国家舞队LAST FOR ONE 的比赛音乐
4	代表等待爱情的歌曲有哪些
1	这句歌词是哪首歌的?
4	有谁知到韩国歌曲 dj 版得有没有好听得啊 ?还有 轻歌也可以
1	世界末日是谁唱的??
1	推开窗.. 是什么的歌词
4	有什么悲伤的歌比较好听?英文的也可以
5	什么是纯音乐?
1	有个歌,歌词有“你们是我的星光.. ...曾经用生命歌唱”好像还有温岚
4	目前最流行的歌曲是什么?
4	2008.10.1以后.谁有赶时髦的音乐 告诉我下!!!!
1	谁知道名师高徒中的李杨璐离开舞台唱的最后一首歌是什么名字??
4	好听的中文歌、不求多
12	"百变小樱魔术卡中收服""歌""的那一集的音乐"
1	李叔同做的一首歌曲,叫祖国歌,又叫夕歌,歌词是什么?
1	谁知道这首歌名字?
4	现在有什么好听的中文歌曲要流行的
1	5.12金鹰放的歌是什么?
1	这个歌叫什么??
4	周董新专辑什么歌最好听?
11	《敢不敢》好不好听
4	现在好听的歌有多少
4	有没有好听的手机铃声!
1	哒愣.哒愣.哒愣..什么歌来
1	我爱记歌词的直播时间
1	稻香的歌词是什么
4	求中国出名的古典曲
11	周伦杰的新专辑魔杰座好听吗?
5	音乐能起什么作用?
1	一个人走这歌是谁唱的?
1	谁知道刘亦菲的一首歌 我只知道她只唱了这一首歌 叫什么我不知道
4	现在什么歌好听
4	有什么法国歌?
1	舞者电视剧的主题曲的名字是什么?
12	陈绮贞的 梦 这首歌 哪里有下载?~
1	梁山伯与朱丽叶是谁唱的?
1	奋斗里的向南心碎乌托邦的时候唱的是什么歌
4	麻烦介绍几首好听的英文歌
4	拜托给我几首说唱的悲伤歌曲
1	“太平洋的潮水跟着地球来回的转动”是哪一首歌曲中的歌词?
4	谁给推荐几首最近好听的新歌
12	跪求!哪可以下载到大提琴的流行乐谱.!
4	最近有什么好听的歌吗
3	为什么现在喜欢上了伤感音乐了
1	谁知道这个歌曲名字啊帮帮忙拉!!
4	有没好听的歌曲 介绍几个
4	谁知道有什么悲的歌曲么?
12	求AVRIL的GIRLFRIEND的混音伴奏
4	海鸣威什么好听的歌??
4	有没有象《嫁衣》那样的歌
12	请问哪里可以下载到久石让的钢琴专辑《Encore》
8	冰河时代2是由哪些歌组合而成的
4	求几首英语歌
1	黑色星期天的中文歌词是什么?
4	有米有好听点的英文歌?
4	给推荐几首不是很流行但是很好听的伤心情歌,一定要很悲哀的哦~~
1	求女生唱的有一句歌词叫J.J.J英文舞曲
1	这首街舞歌曲叫什么?
1	其实你懂我这首歌是什么时候的?
5	".Уouαrè Μy bèST Truè Lo en dag tiibage nik ..""1'bEco是什么意思?"
4	求悲伤歌曲 听了都想哭的那种 速度。。
4	推荐一些好听的歌.
1	这个是什么曲子或者歌!???
6	谁懂五线谱,教教我呀。
4	现在什么流行歌曲超好听
4	谁有伤感的歌曲啊,听了想哭的那种?
1	爱大了受伤了DJ版里面的英文舞曲混音谁知道歌名是什么
5	对中国现存古典园林的分析
1	&lt;喜帖街&gt;谁唱的?
4	有什么好听的抒情歌?
4	求适合作铃声的欧美风格的歌曲~
4	现在什么流行歌曲好听
1	我喜欢一首歌但不晓得叫么名字
4	我想找歌 请音乐达人进来帮帮忙啦
5	舞曲分类怎么分
