,text,label,prediction
5,帮我搜索三国杀,app,video
7,公交查询,app,bus
8,打开搜狐新闻,app,video
16,打开优酷视频,app,video
116,有什么下酒菜吗,cookbook,chat
147,几点了,datatime,chat
161,爸爸去哪几点结束呀,epg,chat
189,2012年的恐怖电影,epg,video
304,胡歌忘记时间,music,video
308,陈奕迅有什么歌啊,music,chat
309,我想听s h e 的中国话,music,translation
312,你可以帮我点歌吗,music,chat
363,来一首水调歌头。,poetry,music
395,什么地方开会,schedule,chat
412,吉林敖东,stock,tvchannel
416,国祥,stock,contacts
513,很想看安徽卫视来着,tvchannel,epg
521,一路向西,video,map
524,穷孩子富孩子,video,chat
528,播放卡洛斯沙尔阿,video,music
539,最新有什么热门电影,video,cinemas
549,泰国的节目,video,epg
557,最近流行电影。,video,cinemas
600,魔神战记,website,video
608,打开九幺五八聊天,website,app
615,打开谷歌wap,website,app
655,太阳是不是有下雨吗,chat,weather
