text	label	prediction
请介绍几种全英文的报纸,有关时政或各种新闻的适合在校大学生看的	推荐类	推荐类
怎么找不到 “It Nerver Rains In Southern Califormia”这首英文金曲的歌词?	原因类	原因类
珠海K歌之王的酒钱是多少?	事实类	事实类
蔡依林在哪开演唱会	事实类	事实类
罗志祥是哪个公司的啊	事实类	事实类
春晚门票多少钱一张?	事实类	事实类
还有多少人会观看了春晚?	事实类	事实类
问一下~~阮经天参加过哪个女明星的mv的拍摄~~	枚举类	枚举类
说说你们最喜欢Vae的哪首歌。	推荐类	推荐类
音乐美在哪里	评价类	评价类
JAY开过哪些演唱会?	枚举类	枚举类
刘德华和张学友谁帅?	评价类	评价类
super junior拿过什么奖?	枚举类	枚举类
许巍现在出了新的专辑吗?	事实类	是非类
专辑在哪有卖?(张杰的)	需求类	需求类
推荐几个灵魂乐的歌手	推荐类	推荐类
张韶涵出过书吗?!~!~!~	需求类	是非类
谁知道罗志祥一月十号上海签唱会的具体时间啊?	事实类	事实类
谁知道周杰伦的家在哪	事实类	事实类
王力宏新歌《我完全没有任何理由理你》中说的都是谁	事实类	枚举类
为什么我每次想哭的时候都会去听《show me love》这首歌?谁可以告诉我?	原因类	原因类
擦肩而过的作词者是谁	事实类	事实类
怎么下载QQ音乐中URL地址的音乐	方法类	方法类
谁有好的点的看电影或音乐的好网址?	推荐类	推荐类
家驹在天堂多少年啦??	事实类	事实类
谁有jay的演唱会票	需求类	需求类
蔡妍最后一次参加的X-MAN 跳舞的歌名是嘛?	事实类	事实类
有没有东方神起的AAC格式的MV?	需求类	需求类
不是因为寂寞才想你,是因为想你才寂寞.这个歌谁唱的.是女声的噢,.不是男的。	事实类	事实类
哪里有黄家驹的所有歌曲啊?	需求类	需求类
喜欢王子的歌迷有名字吗,叫什么?	事实类	事实类
东方神起2008年在上海开过几次演唱会	事实类	事实类
谁知道模范棒棒堂哪一期是范晓萱参加的呀?	事实类	事实类
大家都喜欢飞轮海的那一点啊?	评价类	评价类
谁有陈冠希小时候的照片?	需求类	需求类
谁知道承诺的歌词??	需求类	需求类
东方神起各个成员有整容吗?	是非类	是非类
飞轮海和东方神起还有sj-M组合那组最帅?	评价类	评价类
有谁知道 BK LOVE 的中文歌词?	需求类	事实类
SHE新专辑的歌都有些什么啊?	枚举类	枚举类
在韩国MC是指?	事实类	描述类
sj-m中,周觅和Henry,更喜欢谁?	评价类	评价类
林俊杰拍的有什么电视剧好看??	推荐类	推荐类
Rain和安七炫那个帅?	评价类	评价类
模范棒棒堂里有什么人	枚举类	枚举类
今年.,音乐盛典蔡依林得了什么奖?	事实类	枚举类
至上励合有多少人组成	事实类	事实类
邪恶少年eb的资料和他全部歌的歌词哪有?	需求类	需求类
李贞贤在第6届中韩歌会唱得啥歌了?	事实类	事实类
我也特别的喜欢韩庚,不过我想知道哦有多少人喜欢韩庚啊?	事实类	事实类
你是我的天堂mp3的歌词哪里有	需求类	需求类
谁能给我妖精之歌的歌词?	需求类	需求类
北京欢迎你有哪些明星录了的	枚举类	枚举类
周杰伦祖籍是哪	事实类	事实类
周杰伦续上海站后下一站演唱会在哪里开?	事实类	事实类
有喜欢神起和SJ的吗?最喜欢是18只中的哪一位呢!呵呵!	评价类	推荐类
michael jackson的新专辑好久发行??	事实类	事实类
韩庚拍过什么MV吖!!	枚举类	枚举类
蔡依林的MV哪个好看?	推荐类	推荐类
请问神话组合08年参加了什么节目?	枚举类	枚举类
东方神起代言过哪些牌子?	枚举类	枚举类
